rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; frame heading; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04378
epoch 600/1000: train 0.03539  val 0.03670  best val 0.03668 @ 280  lr 1.0e-16  21.5 min
epoch 610/1000: train 0.03362  val 0.03670  best val 0.03668 @ 280  lr 6.3e-17  21.8 min
epoch 620/1000: train 0.03619  val 0.03668  best val 0.03668 @ 280  lr 4.0e-17  22.3 min
epoch 630/1000: train 0.03334  val 0.03672  best val 0.03668 @ 280  lr 2.5e-17  22.7 min
epoch 640/1000: train 0.03563  val 0.03671  best val 0.03668 @ 280  lr 1.6e-17  23.2 min
epoch 650/1000: train 0.03859  val 0.03671  best val 0.03668 @ 280  lr 1.0e-17  23.6 min
epoch 660/1000: train 0.03348  val 0.03671  best val 0.03668 @ 280  lr 6.3e-18  24.0 min
epoch 670/1000: train 0.03429  val 0.03669  best val 0.03668 @ 280  lr 4.0e-18  24.5 min
epoch 680/1000: train 0.03637  val 0.03671  best val 0.03668 @ 280  lr 2.5e-18  24.9 min
epoch 690/1000: train 0.03436  val 0.03671  best val 0.03668 @ 280  lr 1.6e-18  25.3 min
epoch 700/1000: train 0.03347  val 0.03670  best val 0.03668 @ 280  lr 1.0e-18  25.7 min
epoch 710/1000: train 0.03769  val 0.03671  best val 0.03668 @ 280  lr 6.3e-19  26.1 min
epoch 720/1000: train 0.03466  val 0.03669  best val 0.03668 @ 280  lr 4.0e-19  26.4 min
epoch 730/1000: train 0.03615  val 0.03668  best val 0.03668 @ 280  lr 2.5e-19  26.9 min
epoch 740/1000: train 0.03803  val 0.03670  best val 0.03668 @ 280  lr 1.6e-19  27.3 min
epoch 750/1000: train 0.03208  val 0.03670  best val 0.03668 @ 280  lr 1.0e-19  27.8 min
epoch 760/1000: train 0.03333  val 0.03669  best val 0.03668 @ 280  lr 6.3e-20  28.2 min
epoch 770/1000: train 0.03366  val 0.03669  best val 0.03668 @ 280  lr 4.0e-20  28.6 min
epoch 780/1000: train 0.03358  val 0.03670  best val 0.03668 @ 280  lr 2.5e-20  29.0 min
epoch 790/1000: train 0.03896  val 0.03668  best val 0.03668 @ 280  lr 1.6e-20  29.4 min
epoch 800/1000: train 0.03191  val 0.03670  best val 0.03668 @ 280  lr 1.0e-20  29.8 min
epoch 810/1000: train 0.03446  val 0.03669  best val 0.03668 @ 280  lr 6.3e-21  30.2 min
epoch 820/1000: train 0.03635  val 0.03671  best val 0.03668 @ 280  lr 4.0e-21  30.5 min
epoch 830/1000: train 0.03309  val 0.03670  best val 0.03668 @ 280  lr 2.5e-21  30.9 min
epoch 840/1000: train 0.03424  val 0.03668  best val 0.03668 @ 840  lr 1.6e-21  31.2 min
epoch 850/1000: train 0.03342  val 0.03670  best val 0.03668 @ 840  lr 1.0e-21  31.5 min
epoch 860/1000: train 0.03259  val 0.03674  best val 0.03668 @ 840  lr 6.3e-22  31.8 min
epoch 870/1000: train 0.03343  val 0.03675  best val 0.03668 @ 840  lr 4.0e-22  32.1 min
epoch 880/1000: train 0.03310  val 0.03671  best val 0.03668 @ 840  lr 2.5e-22  32.4 min
epoch 890/1000: train 0.03594  val 0.03671  best val 0.03668 @ 840  lr 1.6e-22  32.7 min
epoch 900/1000: train 0.03598  val 0.03670  best val 0.03668 @ 840  lr 1.0e-22  33.0 min
epoch 910/1000: train 0.03586  val 0.03671  best val 0.03668 @ 840  lr 6.3e-23  33.3 min
epoch 920/1000: train 0.03763  val 0.03670  best val 0.03668 @ 840  lr 4.0e-23  33.6 min
epoch 930/1000: train 0.03298  val 0.03671  best val 0.03668 @ 840  lr 2.5e-23  33.9 min
epoch 940/1000: train 0.03268  val 0.03670  best val 0.03668 @ 840  lr 1.6e-23  34.2 min
epoch 950/1000: train 0.03413  val 0.03670  best val 0.03668 @ 840  lr 1.0e-23  34.5 min
epoch 960/1000: train 0.03752  val 0.03671  best val 0.03668 @ 840  lr 6.3e-24  34.8 min
epoch 970/1000: train 0.03512  val 0.03670  best val 0.03668 @ 840  lr 4.0e-24  35.1 min
epoch 980/1000: train 0.03674  val 0.03669  best val 0.03668 @ 840  lr 2.5e-24  35.4 min
epoch 990/1000: train 0.03686  val 0.03670  best val 0.03668 @ 840  lr 1.6e-24  35.7 min
epoch 1000/1000: train 0.03865  val 0.03671  best val 0.03668 @ 840  lr 1.0e-24  36.0 min
done: {"best_epoch": 840, "best_val_loss": 0.036678572370093844, "init_val_loss": 0.04378302301834469, "epochs": 1000, "minutes": 35.99655967950821, "rooms": ["class_room", "hallway", "complex_room"], "val_rooms": ["class_room", "hallway", "complex_room"], "init": "ckpt/xRIR_cyl_8_shot/epoch_12.pth", "backbone": "cylindrical", "seed": 2, "frame": "heading"}
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torch/functional.py:641: UserWarning: stft with return_complex=False is deprecated. In a future pytorch release, stft will return complex tensors for all inputs, and return_complex=False will raise an error.
Note: you can still call torch.view_as_real on the complex output to recover the old return format. (Triggered internally at ../aten/src/ATen/native/SpectralOps.cpp:862.)
  return _VF.stft(input, n_fft, hop_length, win_length, window,  # type: ignore[attr-defined]
EXP06_CHILD_EXIT 0 2026-09-18T22:02:49+00:00
