env,room,query_id,model,edt_s,c50_db,t60_pct
haa,class_room,mic120,simplevit,0.0459864,0.197625,1.48505
haa,class_room,mic121,simplevit,0.0682993,0.600347,0.376719
haa,class_room,mic122,simplevit,0.00517007,0.415173,3.70024
haa,class_room,mic124,simplevit,0.0522449,1.89798,2.30406
haa,class_room,mic125,simplevit,0.114286,1.90978,5.05271
haa,class_room,mic126,simplevit,0.0242177,0.756943,1.88157
haa,class_room,mic128,simplevit,0.122993,1.89779,2.76377
haa,class_room,mic129,simplevit,0.0176871,0.390483,4.0625
haa,class_room,mic130,simplevit,0.00517007,0.166559,2.66517
haa,class_room,mic132,simplevit,0.173605,1.67938,8.39628
haa,class_room,mic133,simplevit,0.0639456,0.548632,1.05762
haa,class_room,mic134,simplevit,0.0462585,0.221149,2.41433
haa,class_room,mic136,simplevit,0.0111565,0.112946,3.32207
haa,class_room,mic137,simplevit,0.108844,1.55908,6.41953
haa,class_room,mic138,simplevit,0.120816,1.01865,3.21278
haa,class_room,mic140,simplevit,0.0576871,2.06344,5.91673
haa,class_room,mic141,simplevit,0.0176871,0.44065,1.05283
haa,class_room,mic142,simplevit,0.00190476,0.269764,3.15409
haa,class_room,mic144,simplevit,0.0571429,1.12392,3.40909
haa,class_room,mic145,simplevit,0.24517,4.23939,7.41763
haa,class_room,mic146,simplevit,0.0508844,1.64309,2.18365
haa,class_room,mic148,simplevit,0.0239456,1.38888,3.53276
haa,class_room,mic149,simplevit,0.0506122,0.680514,0.438262
haa,class_room,mic150,simplevit,0.0634014,0.988728,4.9058
haa,class_room,mic152,simplevit,0.216327,3.67138,8.77477
haa,class_room,mic153,simplevit,0.222041,3.31598,4.04836
haa,class_room,mic154,simplevit,0.108299,1.66667,0.961538
haa,class_room,mic156,simplevit,0.0277551,0.19622,0.744806
haa,class_room,mic157,simplevit,0.0859864,1.67491,7.29638
haa,class_room,mic158,simplevit,0.115374,1.86917,6.25696
haa,class_room,mic160,simplevit,0.28517,3.54206,7.70079
haa,class_room,mic161,simplevit,0.0808163,1.85273,2.18228
haa,class_room,mic162,simplevit,0.0527891,0.0746721,4.98772
haa,class_room,mic164,simplevit,0.0740136,0.899079,5.3026
haa,class_room,mic165,simplevit,0.0185034,0.75406,6.63788
haa,class_room,mic166,simplevit,0.0960544,0.661229,11.163
haa,class_room,mic168,simplevit,0.0353741,1.13918,1.63478
haa,class_room,mic169,simplevit,0.163537,3.12837,0.11236
haa,class_room,mic170,simplevit,0.0310204,0.252527,1.35961
haa,class_room,mic172,simplevit,0.0378231,0.240824,2.19927
haa,class_room,mic174,simplevit,0.167075,2.76213,11.1409
haa,class_room,mic175,simplevit,0.0745578,0.938513,0.131307
haa,class_room,mic176,simplevit,0.00108844,0.0930974,0.588124
haa,class_room,mic178,simplevit,0.0745578,1.27575,1.33457
haa,class_room,mic179,simplevit,0.0106122,0.849668,1.50334
haa,class_room,mic180,simplevit,0.0865306,2.31856,12.71
haa,class_room,mic182,simplevit,0.000272109,0.058493,3.00311
haa,class_room,mic183,simplevit,0.025034,1.55797,0.130475
haa,class_room,mic184,simplevit,0.0481633,1.89879,0.0373134
haa,class_room,mic186,simplevit,0.0530612,1.62356,3.12021
haa,class_room,mic187,simplevit,0.121361,2.39514,0.564334
haa,class_room,mic188,simplevit,0.202177,4.35108,0.722022
haa,class_room,mic190,simplevit,0.0661224,0.50849,0.0920132
haa,class_room,mic191,simplevit,0.0579592,0.452219,1.04478
haa,class_room,mic192,simplevit,0.0367347,0.628036,0.131431
haa,class_room,mic194,simplevit,0.0565986,1.97806,0.560852
haa,class_room,mic195,simplevit,0.179592,2.27694,0.351137
haa,class_room,mic196,simplevit,0.025034,0.0205519,3.92407
haa,class_room,mic198,simplevit,0.0669388,0.384806,1.14751
haa,class_room,mic199,simplevit,0.0419048,1.60781,2.52525
haa,class_room,mic200,simplevit,0.0193197,0.844317,1.48524
haa,class_room,mic202,simplevit,0.0348299,1.28049,6.17918
haa,class_room,mic203,simplevit,0.0661224,0.142787,3.17318
haa,class_room,mic204,simplevit,0.117007,0.236253,4.09432
haa,class_room,mic206,simplevit,0.0960544,0.641808,0.585569
haa,class_room,mic207,simplevit,0.0389116,1.62572,1.3909
haa,class_room,mic208,simplevit,0.0653061,1.0735,4.27864
haa,class_room,mic210,simplevit,0.0209524,0.979418,0.819374
haa,class_room,mic211,simplevit,0.0878912,0.600716,1.2605
haa,class_room,mic212,simplevit,0.047619,0.914123,3.61958
haa,class_room,mic214,simplevit,0.022585,0.571337,5.06047
haa,class_room,mic215,simplevit,0.0541497,0.158045,9.5941
haa,class_room,mic216,simplevit,0.0435374,0.296419,7.22799
haa,class_room,mic218,simplevit,0.148844,1.71431,10.651
haa,class_room,mic219,simplevit,0.110204,1.80399,7.88033
haa,class_room,mic220,simplevit,0.0614966,1.5856,2.59716
haa,class_room,mic222,simplevit,0.00843537,0.210623,0.0357654
haa,class_room,mic223,simplevit,0.00816327,0.195965,0.592247
haa,class_room,mic224,simplevit,0.115102,1.63955,6.60484
haa,class_room,mic226,simplevit,0.160544,2.60604,1.49281
haa,class_room,mic227,simplevit,0.000544218,0.743333,3.71564
haa,class_room,mic230,simplevit,0.0168707,0.267634,2.03932
